movie_categories,movie_info,movie_release_date,movie_score,movie_title
"动作,犯罪",美国 / 130 分钟,2011-05-12 上映,"
                8.9",速度与激情5 - Fast Five
"剧情,动作,传记,历史,战争",美国 / 177 分钟,1995-05-18 上映,"
                8.9",勇敢的心 - Braveheart
"剧情,喜剧,爱情,歌舞",印度 / 171 分钟,2011-12-08 上映,"
                8.9",三傻大闹宝莱坞 - 3 Idiots
剧情,美国 / 157 分钟,1992-12-23 上映,"
                8.9",闻香识女人 - Scent of a Woman
"剧情,传记,历史",英国、意大利、中国大陆、法国、美国 / 163 分钟,1987-10-23 上映,"
                8.9",末代皇帝 - The Last Emperor
"动画,奇幻,冒险",日本 / 117 分钟,,"
                8.9",风之谷 - 風の谷のナウシカ
"喜剧,爱情,奇幻,古装",中国香港、中国大陆 / 87 分钟,2014-10-24 上映,"
                8.9",大话西游之月光宝盒 - A Chinese Odyssey
"剧情,音乐",法国、德国、瑞士 / 97 分钟,2004-10-16 上映,"
                8.9",放牛班的春天 - Les choristes
"剧情,家庭,传记",美国 / 117 分钟,2008-01-17 上映,"
                8.9",当幸福来敲门 - The Pursuit of Happyness
"动画,奇幻,冒险",日本 / 134 分钟,1998-05-01 上映,"
                8.9",幽灵公主 - もののけ姫
剧情,美国 / 96 分钟,1957-04-13 上映,"
                8.9",十二怒汉 - 12 Angry Men
"剧情,动作,悬疑,惊悚",美国、德国 / 139 分钟,1999-09-10 上映,"
                8.9",搏击俱乐部 - Fight Club
"喜剧,动画,冒险",美国 / 98 分钟,2013-04-20 上映,"
                8.9",疯狂原始人 - The Croods
"动作,科幻,冒险",美国、英国 / 162 分钟,2010-01-04 上映,"
                8.9",阿凡达 - Avatar
"动画,奇幻,冒险",日本 / 119 分钟,2004-09-05 上映,"
                8.9",哈尔的移动城堡 - ハウルの動く城
"剧情,科幻,悬疑,冒险",美国、英国 / 148 分钟,2010-09-01 上映,"
                8.9",盗梦空间 - Inception
剧情,美国、英国 / 93 分钟,2009-06-13 上映,"
                8.9",忠犬八公的故事 - Hachi: A Dog's Tale
"剧情,历史,战争",美国 / 169 分钟,1998-11-13 上映,"
                8.9",拯救大兵瑞恩 - Saving Private Ryan
